category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,984000.413,177514.7609,2223400.3913,1039086.2609
8 Oct 2022,1408407.9,416904.1667,2631831.0333,1490314.9333
9 Oct 2022,209107.6429,110819.4286,387713,238448.8571
10 Oct 2022,895334.5,227048.7381,1580074.7381,998455.5
11 Oct 2022,1266134.4,197038.5273,2424544.4727,1315010.0909
12 Oct 2022,470145.6571,120585.3143,1031300.6857,470668.3714
13 Oct 2022,951089.9474,222322.8947,2204282.6842,1061937.3684
14 Oct 2022,450010.4118,100380.8235,893426.1176,477428.4706
15 Oct 2022,751538.7778,203366.1111,1873112.6667,1036549.7778
16 Oct 2022,0,0,0,0
17 Oct 2022,2661137.1538,342116.7692,5916040.9231,2274037.0769
18 Oct 2022,2364447.5,351319.8889,4581081.7222,2318558.6111
19 Oct 2022,2338450.4643,349182.5714,4139451.9643,2442543.6786
20 Oct 2022,2958418.1351,220901.0811,6012954.8649,2449501.0811
21 Oct 2022,2553509.6667,1071664.4167,4857327.0833,2059898.8333
22 Oct 2022,731966.5,346564,1135580.5,850158
23 Oct 2022,709404.9286,205697,1191906.9286,816642.1429
24 Oct 2022,1669775.6071,166155.9643,3449544.0714,1761293.7143
25 Oct 2022,2163278.375,368598.375,3635148.9375,2429022.3125
26 Oct 2022,2256267,194249.5,3671938.5,2810459
27 Oct 2022,1999972.5,502112.1,3816517.3,2103126.6
28 Oct 2022,2158580.9444,196574.1111,3608975.8333,2568639.2222
29 Oct 2022,2071593.6,139437.4,4746258.2,1985233.4
30 Oct 2022,496770.6,227458.2,781466.2,435443.2
31 Oct 2022,1861656.5556,329238.2222,3322257,2089970.4444
