category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,63577.1739,27396.6522,90112.8261,65193.7826
8 Oct 2022,62788.6207,30790.3793,78239.4138,61203.3793
9 Oct 2022,70301.1765,29059.4706,107598,69726.8235
10 Oct 2022,52182.5758,23530.9394,70712.1515,57094.2727
11 Oct 2022,60353.75,32216.3214,75697.0714,63179.9286
12 Oct 2022,51768.6765,21144.7941,75907.0882,57134.6471
13 Oct 2022,52139.8333,26840.3889,62335.2778,52519.1667
14 Oct 2022,34728.1667,15726.0556,50004,36092.3333
15 Oct 2022,33952.5,10509.5,50973.875,32179.375
16 Oct 2022,0,0,0,0
17 Oct 2022,358915.6923,354615.1538,360325,358739.8462
18 Oct 2022,474756.3714,439981.0857,481085.3143,478362.0571
19 Oct 2022,80723.1481,71533.1481,85975.0741,82139.963
20 Oct 2022,498656.5,492683.3333,501536.75,499517.1111
21 Oct 2022,354353.3636,345206,361091.8182,353842.4545
22 Oct 2022,102557.5,63338.5,113628.5,105639.5
23 Oct 2022,121805.8571,117082.2857,123851.4286,123851.4286
24 Oct 2022,87122.7857,60080.4286,96088.6429,88913.9286
25 Oct 2022,88674.125,72465.375,95056.5625,89522.75
26 Oct 2022,130494.5,130494.5,130494.5,130494.5
27 Oct 2022,75773.7273,74254.4545,76806.2727,76338.4545
28 Oct 2022,53134,43432.6667,59577.7222,54087.6111
29 Oct 2022,103895,95891.2,108789.4,108189.6
30 Oct 2022,112909.2,64481.6,136072.2,126990.4
31 Oct 2022,56937.5556,44950.5556,92973.2222,55232.8889
