category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,3386542.5652,770608.6957,5838000,3441130.4348
8 Oct 2022,2908657.3448,597793.1034,5172137.931,2974068.9655
9 Oct 2022,3819615.7059,1092470.5882,6332000,3929882.3529
10 Oct 2022,3487671.4242,814545.4545,5945090.9091,3568424.2424
11 Oct 2022,3163636.0179,600285.7143,5601928.5714,3224250
12 Oct 2022,3708552.7059,730823.5294,6420117.6471,3859117.6471
13 Oct 2022,3097466.5556,525555.5556,5498888.8889,3222222.2222
14 Oct 2022,4445792.0556,1224444.4444,7414666.6667,4561777.7778
15 Oct 2022,3813424.875,788000,6714500,3995250
16 Oct 2022,0,0,0,0
17 Oct 2022,1730428.3846,135384.6154,3221538.4615,1788000
18 Oct 2022,1643236.6286,210400,3039200,1695714.2857
19 Oct 2022,2066009.0741,214962.963,3960148.1481,2087851.8519
20 Oct 2022,1493371.0278,155666.6667,2851222.2222,1516277.7778
21 Oct 2022,1593864.3636,92727.2727,3150909.0909,1561454.5455
22 Oct 2022,1526480.5,102000,2982000,1504000
23 Oct 2022,1796851.3571,100000,3444857.1429,1871428.5714
24 Oct 2022,2501493.5714,219714.2857,4832142.8571,2523928.5714
25 Oct 2022,2126474.6875,272250,3991750,2163875
26 Oct 2022,1371675.5,134000,2654000,1430000
27 Oct 2022,2181848.9091,180000,4185090.9091,2243090.9091
28 Oct 2022,2647556.8333,266888.8889,4944888.8889,2705111.1111
29 Oct 2022,1727401.8,144000,3265600,1762800
30 Oct 2022,1499726,104000,2776800,1497200
31 Oct 2022,2616832.1111,239111.1111,5015555.5556,2690444.4444
