category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,73319.5,1043.4783,106347.8261,96304.3478
8 Oct 2022,78775.5333,0,97733.3333,97733.3333
9 Oct 2022,7142.8571,1428.5714,12857.1429,7142.8571
10 Oct 2022,111436.5,1238.0952,199809.5238,121142.8571
11 Oct 2022,244242.0182,4800,425818.1818,333709.0909
12 Oct 2022,110251.2857,685.7143,202285.7143,145142.8571
13 Oct 2022,169304.1053,421.0526,338526.3158,174947.3684
14 Oct 2022,226313.2941,235.2941,489176.4706,221294.1176
15 Oct 2022,228382.6667,9777.7778,388444.4444,246444.4444
16 Oct 2022,0,0,0,0
17 Oct 2022,848795.8462,16307.6923,1859384.6154,933846.1538
18 Oct 2022,1054351.4722,36222.2222,2379333.3333,945500
19 Oct 2022,188926.1786,0,262428.5714,239428.5714
20 Oct 2022,940084.1892,16756.7568,2378486.4865,1203837.8378
21 Oct 2022,738667.5833,28333.3333,1866666.6667,723666.6667
22 Oct 2022,0,0,0,0
23 Oct 2022,0,0,0,0
24 Oct 2022,254102.5357,142.8571,446428.5714,282000
25 Oct 2022,235621.375,0,357500,276125
26 Oct 2022,106272.5,0,144000,144000
27 Oct 2022,389685.7,0,846800,378600
28 Oct 2022,210659.7778,0,313333.3333,259333.3333
29 Oct 2022,53828.6,0,66400,66400
30 Oct 2022,0,0,0,0
31 Oct 2022,282286.7778,0,515555.5556,307555.5556
