category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,0.4783,0.0435,0.587,0.5217
8 Oct 2022,0.4138,0.1379,0.5517,0.4483
9 Oct 2022,0.8235,0.2353,1.1176,0.8824
10 Oct 2022,0.4545,0.1212,0.7273,0.4848
11 Oct 2022,0.4107,0.0536,0.75,0.4107
12 Oct 2022,0.4706,0,0.8824,0.4412
13 Oct 2022,0.3333,0.1111,0.4444,0.3333
14 Oct 2022,0.3889,0,0.6111,0.4444
15 Oct 2022,0.25,0,0.5,0.25
16 Oct 2022,0,0,0,0
17 Oct 2022,0.3077,0,0.3846,0.3846
18 Oct 2022,0.4286,0.1143,0.6,0.4286
19 Oct 2022,0.2222,0,0.3704,0.2222
20 Oct 2022,0.1944,0.1111,0.3056,0.1944
21 Oct 2022,0.6364,0,0.8182,0.6364
22 Oct 2022,0.5,0,0.5,0.5
23 Oct 2022,1.3571,0.0714,1.5,1.4286
24 Oct 2022,0.5,0.0357,0.8571,0.6071
25 Oct 2022,0.5625,0.0625,0.75,0.625
26 Oct 2022,0,0,0,0
27 Oct 2022,0.3636,0,0.3636,0.3636
28 Oct 2022,0.6111,0.1667,0.7778,0.6111
29 Oct 2022,1.2,0,1.2,1.2
30 Oct 2022,1.2,0,1.4,1.4
31 Oct 2022,0.3333,0.1111,0.3333,0.3333
