category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,0.1304,0,0.1304,0.1304
8 Oct 2022,0.069,0,0.1034,0.069
9 Oct 2022,0,0,0,0
10 Oct 2022,0.1212,0.0303,0.1212,0.1212
11 Oct 2022,0.1607,0,0.3036,0.1429
12 Oct 2022,0.1176,0,0.1765,0.1176
13 Oct 2022,0.0556,0,0.0556,0.0556
14 Oct 2022,0,0,0,0
15 Oct 2022,0,0,0,0
16 Oct 2022,0,0,0,0
17 Oct 2022,0,0,0,0
18 Oct 2022,0.2857,0.2857,0.3143,0.2857
19 Oct 2022,0.0741,0.0741,0.0741,0.0741
20 Oct 2022,0.25,0.1389,0.3889,0.25
21 Oct 2022,0.4545,0.4545,0.6364,0.4545
22 Oct 2022,0,0,0,0
23 Oct 2022,0,0,0,0
24 Oct 2022,0.3571,0,0.5714,0.3571
25 Oct 2022,0,0,0,0
26 Oct 2022,0,0,0,0
27 Oct 2022,0,0,0,0
28 Oct 2022,0,0,0,0
29 Oct 2022,0,0,0,0
30 Oct 2022,0,0,0,0
31 Oct 2022,0,0,0,0
