category,Maximum Download Bandwidth,Minimum Download Bandwidth,Maximum Upload Bandwidth,Minimum Upload Bandwidth
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,26.214051130399998,1.8461469568,0.7382335656,0.3308812176
8 Oct 2022,35.1295330664,4.3842917336,0.6319111728,0.32917848239999997
9 Oct 2022,4.0374091432,1.3431457143999999,0.8757552944,0.3539402352
10 Oct 2022,17.465652761599998,2.287655048,0.572418424,0.25771175760000004
11 Oct 2022,25.573713891199997,2.0396365088,0.617132,0.3242762856
12 Oct 2022,11.6680672,1.8859056,0.629038588,0.29939105920000003
13 Oct 2022,23.7875810528,1.9471397896,0.49848,0.26729777759999995
14 Oct 2022,9.7595124704,1.0131703528,0.3996626664,0.1565284448
15 Oct 2022,18.4319128888,2.3034088888,0.407529,0.149118
16 Oct 2022,0,0,0,0
17 Oct 2022,65.294819692,17.9049612304,2.882232,2.8365569232
18 Oct 2022,60.7880568888,14.0667211112,3.8484006856,3.5342614855999996
19 Oct 2022,48.332866856799996,4.0167037144,0.6874450368,0.571975704
20 Oct 2022,78.6966209728,30.2212190272,4.0119766664,3.9411042224
21 Oct 2022,56.285734,24.452678,2.8883454544,2.8841352728
22 Oct 2022,10.796688,3.518292,0.908836,0.506252
23 Oct 2022,10.983122285599999,4.4905708568,0.990596,0.9364102856
24 Oct 2022,33.9128311432,2.8417922856,0.7683414288,0.488602
25 Oct 2022,47.4123725,3.578383,0.7601555,0.579396
26 Oct 2022,48.12832,1.55384,1.04358,1.04358
27 Oct 2022,38.4565264,5.2246688,0.614112,0.5936850912
28 Oct 2022,38.3961346664,2.0753568888,0.4763088888,0.3676253336
29 Oct 2022,42.1819184,1.3450624,0.8699311999999999,0.7668368000000001
30 Oct 2022,7.065934400000001,2.4545407999999997,1.0883104,0.6149072
31 Oct 2022,31.5915511112,3.3115573336,0.7433866664,0.3591875552
