category,Average RTO,Minimum RTO,Maximum RTO,Median RTO
1 Sep 2022,1056613.7273,732363.6364,1488909.0909,1329272.7273
2 Sep 2022,668789.875,334250,1332375,925937.5
3 Sep 2022,318137.5,261500,407250,324375
4 Sep 2022,236666.5,224000,254000,228000
5 Sep 2022,249853.4,231200,272000,245400
6 Sep 2022,448511.6739,283913.0435,860260.8696,377000
7 Sep 2022,503459.9444,313555.5556,1050333.3333,495444.4444
8 Sep 2022,847281.234,356595.7447,1744851.0638,846936.1702
9 Sep 2022,431419.1014,301449.2754,711130.4348,422028.9855
10 Sep 2022,292994.8333,290666.6667,301333.3333,292666.6667
11 Sep 2022,0,0,0,0
12 Sep 2022,536017.5263,401052.6316,874105.2632,525263.1579
13 Sep 2022,765132,547368.4211,1092000,804421.0526
14 Sep 2022,516639.6667,323428.5714,822285.7143,534000
15 Sep 2022,801089.8636,541272.7273,1287818.1818,1144636.3636
16 Sep 2022,362237.4,294880,540640,399680
17 Sep 2022,289984.8095,245523.8095,380952.381,293904.7619
18 Sep 2022,312385.625,237000,467666.6667,320583.3333
19 Sep 2022,359781.7188,289875,489375,362562.5
20 Sep 2022,434198.0938,286000,883250,367250
21 Sep 2022,451301.5,322137.931,717655.1724,451758.6207
22 Sep 2022,689215.2222,503555.5556,993185.1852,707777.7778
23 Sep 2022,532496.2698,411682.5397,740888.8889,485206.3492
24 Sep 2022,278579.4815,270518.5185,306666.6667,274888.8889
25 Sep 2022,256262.1071,233285.7143,307000,250714.2857
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
