category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Sep 2022,40000,40000,40000,40000
2 Sep 2022,40000,40000,40000,40000
3 Sep 2022,40047.625,40000,41000,40000
4 Sep 2022,40000,40000,40000,40000
5 Sep 2022,40000,40000,40000,40000
6 Sep 2022,40013.0435,40000,40086.9565,40000
7 Sep 2022,40000,40000,40000,40000
8 Sep 2022,40017.9362,40000,40340.4255,40000
9 Sep 2022,40000,40000,40000,40000
10 Sep 2022,40000,40000,40000,40000
11 Sep 2022,0,0,0,0
12 Sep 2022,40000,40000,40000,40000
13 Sep 2022,40000,40000,40000,40000
14 Sep 2022,40146.0476,40000,40571.4286,40000
15 Sep 2022,40000,40000,40000,40000
16 Sep 2022,40000,40000,40000,40000
17 Sep 2022,40067.2381,40000,40571.4286,40000
18 Sep 2022,40079.5,40000,40833.3333,40000
19 Sep 2022,40016.3125,40000,40125,40000
20 Sep 2022,40059.2188,40000,40375,40000
21 Sep 2022,40100.6724,40000,40344.8276,40206.8966
22 Sep 2022,40197.5185,40000,40592.5926,40592.5926
23 Sep 2022,40006.6825,40000,40063.4921,40000
24 Sep 2022,40000,40000,40000,40000
25 Sep 2022,40000,40000,40000,40000
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
