category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Sep 2022,41851.0909,40000,72909.0909,41272.7273
2 Sep 2022,42023.6957,40000,70956.5217,42956.5217
3 Sep 2022,48817.65,40000,81000,51600
4 Sep 2022,41869,40000,70000,40000
5 Sep 2022,47356.7,40000,79600,49800
6 Sep 2022,41594.4783,40000,62347.8261,45695.6522
7 Sep 2022,43160.2571,40000,73600,42685.7143
8 Sep 2022,41945.15,40000,69800,44900
9 Sep 2022,43431.026,40000,74441.5584,43896.1039
10 Sep 2022,40530.5,40000,50666.6667,40000
11 Sep 2022,0,0,0,0
12 Sep 2022,42280.0625,40000,75750,42750
13 Sep 2022,44839.4118,40000,81647.0588,44000
14 Sep 2022,42953.5714,40000,73142.8571,41428.5714
15 Sep 2022,40424.8421,40000,50736.8421,40210.5263
16 Sep 2022,43672.5,40000,78666.6667,44083.3333
17 Sep 2022,40528.3333,40000,47428.5714,40952.381
18 Sep 2022,40908.4583,40000,51333.3333,41333.3333
19 Sep 2022,42912.5,40000,67625,41312.5
20 Sep 2022,46515.6333,40000,93733.3333,50333.3333
21 Sep 2022,43886.6441,40000,71322.0339,46169.4915
22 Sep 2022,46424.9,40000,88400,45500
23 Sep 2022,47090.7288,40000,98711.8644,47220.339
24 Sep 2022,41784.9655,40000,63448.2759,42344.8276
25 Sep 2022,45388.3333,40000,80800,46733.3333
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
