category,Average SndMSS,Minimum SndMSS,Maximum SndMSS,Median SndMSS
1 Sep 2022,1378.9091,1378.9091,1378.9091,1378.9091
2 Sep 2022,1422.375,1422.375,1422.375,1422.375
3 Sep 2022,1366.125,1366.125,1366.125,1366.125
4 Sep 2022,1338,1338,1338,1338
5 Sep 2022,1338,1338,1338,1338
6 Sep 2022,1379.087,1379.087,1379.087,1379.087
7 Sep 2022,1405.5,1405.5,1405.5,1405.5
8 Sep 2022,1422.2553,1422.2553,1422.2553,1422.2553
9 Sep 2022,1399.3043,1399.3043,1399.3043,1399.3043
10 Sep 2022,1413,1413,1413,1413
11 Sep 2022,0,0,0,0
12 Sep 2022,1428,1428,1428,1428
13 Sep 2022,1428,1428,1428,1428
14 Sep 2022,1406.5714,1406.5714,1406.5714,1406.5714
15 Sep 2022,1358.4545,1358.4545,1358.4545,1358.4545
16 Sep 2022,1402.8,1402.8,1402.8,1402.8
17 Sep 2022,1355.7143,1355.7143,1355.7143,1355.7143
18 Sep 2022,1338,1338,1338,1338
19 Sep 2022,1402.6875,1402.6875,1402.6875,1402.6875
20 Sep 2022,1394.25,1394.25,1394.25,1394.25
21 Sep 2022,1365.931,1365.931,1365.931,1365.931
22 Sep 2022,1391.3333,1391.3333,1391.3333,1391.3333
23 Sep 2022,1363.7143,1363.7143,1363.7143,1363.7143
24 Sep 2022,1388,1388,1388,1388
25 Sep 2022,1338,1338,1338,1338
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
