category,Average SndMSS,Minimum SndMSS,Maximum SndMSS,Median SndMSS
1 Sep 2022,1366.6364,1366.6364,1366.6364,1366.6364
2 Sep 2022,1420.1739,1420.1739,1420.1739,1420.1739
3 Sep 2022,1360.5,1360.5,1360.5,1360.5
4 Sep 2022,1338,1338,1338,1338
5 Sep 2022,1339.2,1339.2,1339.2,1339.2
6 Sep 2022,1375.1739,1375.1739,1375.1739,1375.1739
7 Sep 2022,1404.8571,1404.8571,1404.8571,1404.8571
8 Sep 2022,1423.5,1423.5,1423.5,1423.5
9 Sep 2022,1389.4286,1389.4286,1389.4286,1389.4286
10 Sep 2022,1413,1413,1413,1413
11 Sep 2022,0,0,0,0
12 Sep 2022,1422.375,1422.375,1422.375,1422.375
13 Sep 2022,1428,1428,1428,1428
14 Sep 2022,1395.8571,1395.8571,1395.8571,1395.8571
15 Sep 2022,1347.4737,1347.4737,1347.4737,1347.4737
16 Sep 2022,1401.75,1401.75,1401.75,1401.75
17 Sep 2022,1355.1429,1355.1429,1355.1429,1355.1429
18 Sep 2022,1339,1339,1339,1339
19 Sep 2022,1403.0625,1403.0625,1403.0625,1403.0625
20 Sep 2022,1392,1392,1392,1392
21 Sep 2022,1360.8814,1360.8814,1360.8814,1360.8814
22 Sep 2022,1374,1374,1374,1374
23 Sep 2022,1360.8814,1360.8814,1360.8814,1360.8814
24 Sep 2022,1384.5517,1384.5517,1384.5517,1384.5517
25 Sep 2022,1338,1338,1338,1338
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
