category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Sep 2022,0.1818,0,1.5909,0.5455
2 Sep 2022,0.087,0,0.913,0.1739
3 Sep 2022,0.15,0,0.9,0.45
4 Sep 2022,0,0,0.5,0
5 Sep 2022,0.8,0,4.2,0.1
6 Sep 2022,0.1087,0,0.4783,0.1957
7 Sep 2022,0.1143,0,0.8857,0.1714
8 Sep 2022,0.15,0,1.125,0.3
9 Sep 2022,0.3117,0,1.8701,0.4675
10 Sep 2022,0,0,0,0
11 Sep 2022,0,0,0,0
12 Sep 2022,0.0625,0,0.25,0
13 Sep 2022,0.0588,0,0.5294,0
14 Sep 2022,0.0714,0,0.8571,0.2857
15 Sep 2022,0,0,0.3158,0
16 Sep 2022,0,0,0.0833,0
17 Sep 2022,0.1429,0,1.0952,0.5238
18 Sep 2022,0.0417,0,1.1667,0
19 Sep 2022,0,0,0.6563,0.0938
20 Sep 2022,0.1,0,1.1333,0.1333
21 Sep 2022,0.1864,0,1.3559,0.322
22 Sep 2022,0.1,0,1.3,0.3
23 Sep 2022,0.0169,0,0.322,0.0169
24 Sep 2022,0.0345,0,0.4828,0.069
25 Sep 2022,0.1,0,1.5333,0.2667
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
