category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Sep 2022,6,0,59.5455,0.8182
2 Sep 2022,7.125,0.0313,52.6875,2.5625
3 Sep 2022,5.4375,0,48.625,1.0625
4 Sep 2022,8,1.5,15.5,1.5
5 Sep 2022,3.6,0.7,7.7,3.9
6 Sep 2022,6.5217,0.0435,57.9565,2.4348
7 Sep 2022,11.7222,0,106.3611,6.6111
8 Sep 2022,14.6596,0.0213,121.3404,8.234
9 Sep 2022,11.2464,0.2029,114.1739,1.6957
10 Sep 2022,18.3333,0,161,0.1667
11 Sep 2022,0,0,0,0
12 Sep 2022,14.6316,0,161.1579,2.3684
13 Sep 2022,13.7368,0,142.2105,1.7368
14 Sep 2022,4.619,0,49.7143,1.4286
15 Sep 2022,0.1818,0,3.3182,0.0455
16 Sep 2022,15.2,0,170.32,5.2
17 Sep 2022,7.2857,0,72.0952,1
18 Sep 2022,1.0417,0,14.7083,0.7917
19 Sep 2022,16.0313,0,176.1875,2.3438
20 Sep 2022,11.2813,0,93.1563,10.1563
21 Sep 2022,4.569,0.0172,39.1897,1.4138
22 Sep 2022,5.037,0,40.4815,0.6296
23 Sep 2022,7.0159,0,66.9683,3.3333
24 Sep 2022,15.8519,0.037,148.1111,1.7407
25 Sep 2022,1.9643,0.1071,6.8929,1.8571
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
