category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Sep 2022,0.0455,0,0.8182,0.2273
2 Sep 2022,0.0435,0,0.3913,0.1304
3 Sep 2022,0.05,0,0.6,0.25
4 Sep 2022,0,0,0.5,0
5 Sep 2022,0.2,0,1,0.3
6 Sep 2022,0.0435,0,0.2826,0.0652
7 Sep 2022,0.0571,0,0.4,0.0571
8 Sep 2022,0.05,0,0.3,0.125
9 Sep 2022,0.1558,0,0.7662,0.2597
10 Sep 2022,0,0,0,0
11 Sep 2022,0,0,0,0
12 Sep 2022,0.0625,0,0.25,0
13 Sep 2022,0,0,0.2941,0
14 Sep 2022,0.0714,0,0.4286,0.2857
15 Sep 2022,0,0,0.1053,0
16 Sep 2022,0,0,0.0417,0
17 Sep 2022,0.0476,0,0.381,0.2381
18 Sep 2022,0,0,0.375,0
19 Sep 2022,0.0625,0,0.4063,0.125
20 Sep 2022,0,0,0.2333,0.0333
21 Sep 2022,0.0508,0,0.6441,0.1356
22 Sep 2022,0.05,0,0.65,0.1
23 Sep 2022,0.0169,0,0.2712,0.0169
24 Sep 2022,0,0,0.2069,0.069
25 Sep 2022,0,0,0.5,0.0333
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
