category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Sep 2022,92411.2273,66705.6818,147163.9545,91309.7273
2 Sep 2022,221556.7826,136917.5652,467460.7826,211758.913
3 Sep 2022,60520.05,47226.9,82948.9,59088.4
4 Sep 2022,41897,29985.5,49496.5,44838
5 Sep 2022,41146.9,26985.3,53967.4,43337.2
6 Sep 2022,87701.7174,63316.7174,143722.587,92939.3913
7 Sep 2022,207995.0857,152391.7429,322433.8857,196925.8
8 Sep 2022,222564.275,137139.275,388775.1,250666.775
9 Sep 2022,165289.5195,120627.4675,266783.5065,173700.8571
10 Sep 2022,94999.8333,87960,100631.6667,97050
11 Sep 2022,0,0,0,0
12 Sep 2022,212881.5,161284.625,301794.625,180675
13 Sep 2022,429117.2941,275192.7647,719472.7647,514391.1176
14 Sep 2022,147435.2857,84163,405704.2143,214999.8571
15 Sep 2022,193295.0526,171905.2632,246067.5789,190342.7368
16 Sep 2022,95400.3333,81684.5417,114119.125,96405.6667
17 Sep 2022,144092.0476,71113.9524,221707.2381,163007.7143
18 Sep 2022,174000.25,69739.9583,271731.8333,188749.7917
19 Sep 2022,95871.8125,84407.9688,110381.75,98456.3125
20 Sep 2022,158767.3,92238.6667,264166.4,164010.3333
21 Sep 2022,122890.322,77063,233583.5763,120881.5424
22 Sep 2022,117086.05,70196.55,178867.75,131538.2
23 Sep 2022,163979.8814,66586.6271,259820.3898,172875.5254
24 Sep 2022,76880.3793,65722.7931,86959,78257.8276
25 Sep 2022,102783.2,35484.4667,167809.8,103420.3
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
