category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Sep 2022,104127.1364,67644.2273,144658.0909,105188.7727
2 Sep 2022,17526.5,4841.6563,50907.7188,18389.0625
3 Sep 2022,7517.1875,2957.125,20132.75,6058.3125
4 Sep 2022,3649.5,2279,5232.5,4191.5
5 Sep 2022,6324.2,2690.1,11245.8,5940.4
6 Sep 2022,20359.6087,3563.3478,79044.087,7799.7391
7 Sep 2022,11113.5833,2842.6111,46704.25,10329.5833
8 Sep 2022,40235.1489,8942.1489,108753.4468,37626.7447
9 Sep 2022,9196.5362,2413.3623,37416.5797,6224.8696
10 Sep 2022,1196.6667,241.1667,8057,955
11 Sep 2022,0,0,0,0
12 Sep 2022,21657.1053,6681.1053,50137.1579,21317.6842
13 Sep 2022,61344.1579,41696,92719.1053,52473.2632
14 Sep 2022,21919.7619,5726.0952,54257.4286,23799.6667
15 Sep 2022,67275.8636,45568.5455,101833.4545,78644.4091
16 Sep 2022,4688.64,1118.6,16124.64,4373.68
17 Sep 2022,3993.7619,1051.8095,15445.1429,4075.5238
18 Sep 2022,6347.2917,1250.3333,20967,5498.1667
19 Sep 2022,9161.4375,2955.1875,28814.3125,7745.8125
20 Sep 2022,10911,2116.1875,39629.8438,5034.4688
21 Sep 2022,20233.6552,5581.5172,46680.6034,23849.0517
22 Sep 2022,50286.3704,14084.8148,95263.8148,45607
23 Sep 2022,38281.7302,8272.0794,85322.9048,23108.3175
24 Sep 2022,3778.5556,1475.4074,13481.4444,2843.1481
25 Sep 2022,9703.8214,4064.8571,23232.7143,9762.3571
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
