category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Sep 2022,24128.2727,10273.3182,53755.7727,15819.6818
2 Sep 2022,80079.8696,30527.5217,256054.4348,56423.5217
3 Sep 2022,14250.8,4685.55,42727.65,9823.75
4 Sep 2022,10879.5,3927.5,22350,11301
5 Sep 2022,14364.6,6385.5,25486.1,15466.4
6 Sep 2022,24925.3478,7379.913,72834.087,24778.4348
7 Sep 2022,64438.7143,27007.8286,152224.4857,54457.3714
8 Sep 2022,78530.025,22224.95,194583.525,81306.7
9 Sep 2022,66434.8701,39166.0519,131420.7273,70260.1039
10 Sep 2022,7989.3333,3429.3333,19792,8055
11 Sep 2022,0,0,0,0
12 Sep 2022,87050.875,49354.5,177023.1875,65204.5625
13 Sep 2022,228720.1176,123784.4118,400244.5294,301770.7059
14 Sep 2022,59894.2143,8869.2143,216650.6429,151580.5714
15 Sep 2022,138485.3158,122221.5789,183852.4211,136258.5263
16 Sep 2022,16242.4167,5818.5,37567.2083,14432.2083
17 Sep 2022,37994.2857,8393.4286,79031.3333,40733.5714
18 Sep 2022,60075.0833,16207.1667,141014.375,66013.375
19 Sep 2022,15620.2188,7586.2188,32085.1875,15237.7813
20 Sep 2022,58754.7333,17728.5,131832.7333,64233.3667
21 Sep 2022,50066.2712,18661.9831,123710.6271,36880.5085
22 Sep 2022,46497.55,17364.05,100611.7,43479.2
23 Sep 2022,63857.661,12821.678,137474.3898,66624.2542
24 Sep 2022,11270.4138,4804.3448,24451.9655,10175.2069
25 Sep 2022,46150.9667,9123.9,99254.2333,47151.7
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
