category,Average BytesAcked,Minimum BytesAcked,Maximum BytesAcked,Median BytesAcked
1 Sep 2022,3117175.9545,117701.4545,6516358.2727,3293418.4091
2 Sep 2022,5057630.75,67776.3125,11212736.6875,5146030.1563
3 Sep 2022,2913298.0625,74591.75,6136661.25,3027420.9375
4 Sep 2022,365580,234456,570294,570294
5 Sep 2022,283994.3,123594.6,462986.4,326175.9
6 Sep 2022,4564254.6957,79437.7391,10104857.8261,4705326.3696
7 Sep 2022,6231101.2222,76645.1667,13583260.3889,6485001.6111
8 Sep 2022,7454786.2553,48319,16424285.0213,7596126.4681
9 Sep 2022,7048646.6232,134525.4348,15066867.6957,7331277.971
10 Sep 2022,12948371.8333,101692.3333,26495969,13459525
11 Sep 2022,0,0,0,0
12 Sep 2022,9045384.1579,80571.1053,19764675.1053,9051646.1053
13 Sep 2022,6585798.8947,51018.2632,14278962.4737,6893800.1579
14 Sep 2022,7446718.9048,102300.5238,15520775.2857,7799919
15 Sep 2022,6001430.4545,161899.0909,13758772.5455,5713955.1364
16 Sep 2022,11440050.64,203079.48,24063003.6,12045681
17 Sep 2022,10305727.381,306221.381,21541314.1429,10719881.2857
18 Sep 2022,13174139.8333,436909.25,28479421.8333,12863818.9583
19 Sep 2022,9832285.75,64987.75,21650426.125,10434511.75
20 Sep 2022,5915910.7188,102081.3125,12685467.5313,6262156.4375
21 Sep 2022,2369175.8276,114078.1034,5047157.5862,2470237.1724
22 Sep 2022,2606961.4815,80175.8148,5019607.0741,2899823.8519
23 Sep 2022,3362595.381,58822.4286,7119160.2063,3582572.7302
24 Sep 2022,8629027.7037,62228.9259,17875498.7037,9195690.4815
25 Sep 2022,529597.3214,143763.3571,980521.9286,588575.7143
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
