category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Sep 2022,893.4091,785,1028.5455,895.0909
2 Sep 2022,938.0625,785,1131.625,940.0625
3 Sep 2022,894.6875,785,1037.625,892.375
4 Sep 2022,785,785,785,785
5 Sep 2022,811.2,785,846.1,813.3
6 Sep 2022,942.9565,785,1140.5652,946.1087
7 Sep 2022,980.7222,785,1231.5,986.1667
8 Sep 2022,991.2979,785,1242,1002.1277
9 Sep 2022,989.0725,785,1242.7391,994.2464
10 Sep 2022,1113.6667,785,1497.8333,1122
11 Sep 2022,0,0,0,0
12 Sep 2022,1032.7895,785,1329.2105,1031.3158
13 Sep 2022,971,785,1195.6316,971.8947
14 Sep 2022,1009.7143,785,1266.1905,1014.5714
15 Sep 2022,1128.3182,785,1513.5,1140.8182
16 Sep 2022,1130.48,785,1529.48,1146.96
17 Sep 2022,1204.9524,785,1666.8095,1228.2857
18 Sep 2022,1242.5417,785,1740.6667,1258.125
19 Sep 2022,1057.0313,785,1373.9688,1069.3125
20 Sep 2022,966.8438,785,1188.9063,976.8125
21 Sep 2022,893.8621,785,1032.1552,897.3621
22 Sep 2022,898.8889,785,1037.4074,906.9259
23 Sep 2022,967.3175,785,1192.3333,972.4127
24 Sep 2022,1035.2222,785,1335.0741,1048.8889
25 Sep 2022,855.6071,785,959.5714,857.3214
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
