category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Sep 2022,1880848.2727,183631.0909,3034343.1818,2029424.2727
2 Sep 2022,3147988.6522,61911.5217,5449686.5217,3341789.4783
3 Sep 2022,2106995.5,30120,4164599.4,2193511.8
4 Sep 2022,981986,317871,1558197,1030021.5
5 Sep 2022,472570.3,34566,939266.2,474594.2
6 Sep 2022,2143179.1957,120358.3478,3711007.6304,2262713.3261
7 Sep 2022,1794902.8,48435.5143,3209583.6571,1891749.4571
8 Sep 2022,2265657.925,56235,4060958.375,2439989
9 Sep 2022,1992268.5325,69000.3636,3523153.7403,2105462.7922
10 Sep 2022,5286395.3333,123050,10318416,5569403
11 Sep 2022,0,0,0,0
12 Sep 2022,2056770,18700.1875,4075506.4375,2169037.1875
13 Sep 2022,1677801.1765,72778.4118,2836788,1816452.5882
14 Sep 2022,1801879.9286,57397.7143,3182172.8571,1956433.9286
15 Sep 2022,2573301.6842,166016.6842,4609447.4737,2606216.5263
16 Sep 2022,2161569.4583,49726.1667,3711030.1667,2299133.1667
17 Sep 2022,6078498.1905,135113.8571,12081562.0476,6246492.0952
18 Sep 2022,5466563.25,103755.1667,11184423.8333,5480379.7083
19 Sep 2022,2486584.4375,55862.0313,4658384.9688,2681890.5
20 Sep 2022,790540.3667,71436,1381123.8,835728.4
21 Sep 2022,916562.9322,83051.8814,1528393.6102,957803.4915
22 Sep 2022,1185160.05,76267.1,1977404.75,1238261.9
23 Sep 2022,975723.5763,25249.0678,1676603.7966,1042863.3051
24 Sep 2022,3931505.9655,82734.0345,7232255.2759,4146470.7241
25 Sep 2022,665588.3333,59672.3333,1187504.6333,680665.1333
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
