category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Sep 2022,1032754.2273,387484.0909,1337319,1189227.5455
2 Sep 2022,1817303.8125,340698.75,2606961.9375,2174288.1563
3 Sep 2022,1023961.375,271961.375,1377349.875,1144569
4 Sep 2022,584260,365274,741252,741252
5 Sep 2022,375772.2,201770.4,537742.2,423677.7
6 Sep 2022,1265016.7174,239233.2609,1766082.5217,1562522.0217
7 Sep 2022,1794809.4722,392552.4444,2424086,2098089.6667
8 Sep 2022,1913463.1702,317922.766,2620480.9149,2252194.1064
9 Sep 2022,1790783.1739,418133.913,2342061.9275,2065247.4348
10 Sep 2022,2536718.6667,455846,3151523,2787946.6667
11 Sep 2022,0,0,0,0
12 Sep 2022,1900955.6316,321600.6316,2646309.4737,2201721
13 Sep 2022,1690261.8421,311228.8421,2447441.6842,1900217.0526
14 Sep 2022,1306428.3333,328671.3333,1929153.4286,1439255.7143
15 Sep 2022,885120.9545,251887.0909,1265047.0909,984309.9545
16 Sep 2022,2093806.52,529236.72,2797321.92,2278884.84
17 Sep 2022,1265079.8095,371315.4286,1698829.1429,1351269.5714
18 Sep 2022,1113971.375,405358.25,1553919.75,1191628.375
19 Sep 2022,1978763.375,342991.6875,2649163.3125,2325288.5938
20 Sep 2022,1670885.7813,426350.625,2255586.1875,1962915.75
21 Sep 2022,844550.1034,251536.3448,1119135.4655,1019149.1034
22 Sep 2022,774987.7037,292671.5556,1115618.8889,924853.6667
23 Sep 2022,852678.3492,134335.1905,1175429.127,1014769.0794
24 Sep 2022,1673652.1481,239671.7778,2195607,1952608.3333
25 Sep 2022,398068.4643,210066,501463.2857,477904.9286
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
