category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Sep 2022,54,7,100.5,55.1818
2 Sep 2022,46.6957,5.7826,86.8696,48.5217
3 Sep 2022,51.45,7.5,94.8,52.5
4 Sep 2022,48,5,91,48
5 Sep 2022,51.9,6.5,100.7,51
6 Sep 2022,48.2609,6.3696,90.3043,49.2174
7 Sep 2022,47.6857,5.0857,90.2,48.2286
8 Sep 2022,45.975,5.25,86.875,46.9
9 Sep 2022,49.3766,6.7143,91.0909,51.013
10 Sep 2022,47.8333,5,90.6667,48.8333
11 Sep 2022,0,0,0,0
12 Sep 2022,46.1875,5.3125,85.625,47.5
13 Sep 2022,40.5294,5.1765,75.2353,41.1765
14 Sep 2022,47.7143,5.2143,90.6429,48.2143
15 Sep 2022,47.5263,5.0526,89.6842,48.4737
16 Sep 2022,48.875,5.0417,92.625,49.9583
17 Sep 2022,48.4286,5,91.6667,49.1905
18 Sep 2022,50.5833,5.3333,95.0417,51.5
19 Sep 2022,47.8438,6.2188,88.3125,49.125
20 Sep 2022,47.6667,5.1667,89.7333,48.6667
21 Sep 2022,49.5593,6.1017,92.5085,50.8305
22 Sep 2022,48.95,5.8,92.5,48.2
23 Sep 2022,48.2203,5.3898,89.8644,49.5085
24 Sep 2022,50.3793,5.5862,95.6207,51.1724
25 Sep 2022,55.5333,6.8667,103.4333,57.1333
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
