category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Sep 2022,46.9091,5.8636,86.7727,48.4545
2 Sep 2022,43.4783,5.8696,82.6087,45.5217
3 Sep 2022,45.35,5.95,83.95,46.4
4 Sep 2022,48,6,90,47.5
5 Sep 2022,46.7,6.1,92.2,45.7
6 Sep 2022,45.8913,5.8913,86.3913,46.913
7 Sep 2022,45.6,5.7714,86.7143,46.0286
8 Sep 2022,44.25,5.575,85.075,44.55
9 Sep 2022,42.6623,5.7273,79.4416,43.5195
10 Sep 2022,48,5.6667,90.6667,49.8333
11 Sep 2022,0,0,0,0
12 Sep 2022,44.0625,5.5625,82.875,45.3125
13 Sep 2022,37.1176,5.5882,70.4706,38.0588
14 Sep 2022,46.7857,5.7143,89.2857,47.1429
15 Sep 2022,47.5263,6,89.1579,48.4737
16 Sep 2022,48.8333,5.6667,92.375,50.0833
17 Sep 2022,46.8571,5.6667,88.9048,46.8095
18 Sep 2022,48.125,5.7083,91.2083,49.2917
19 Sep 2022,44.375,5.7813,82.9688,45.5
20 Sep 2022,46.9333,5.8333,88.5,48.4667
21 Sep 2022,46.0169,5.8305,86.3051,46.661
22 Sep 2022,45,5.8,85.4,44.85
23 Sep 2022,46.1356,5.8814,86.5424,47.4407
24 Sep 2022,49.4828,5.8621,93.6897,50.1724
25 Sep 2022,49.8333,5.9333,92.8,51.7667
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
