category,Average BytesSent,Minimum BytesSent,Maximum BytesSent,Median BytesSent
1 Sep 2022,4033614.7273,211296.7273,7770366.7273,4265547.9545
2 Sep 2022,6129500.2813,136820.5625,12766858.25,6386048.0938
3 Sep 2022,3487671,137635.75,6839476.875,3687789.75
4 Sep 2022,607758,395685,894759,894759
5 Sep 2022,420222.5,201111.6,665665.2,474264.3
6 Sep 2022,5594351.3478,138383.087,11650354,5923306.8478
7 Sep 2022,7723492.0556,148379.75,15839739.8611,8169900
8 Sep 2022,9522724.3404,103154.7872,19521743.7447,9837786.3404
9 Sep 2022,8766979.8551,257129.8696,17430142.6812,9196394.6667
10 Sep 2022,16454658.6667,206423,31086111,17030955
11 Sep 2022,0,0,0,0
12 Sep 2022,11488659.3158,169721.2105,23164121.2105,11815447.9474
13 Sep 2022,8523365.1579,112075.1053,17190024.1579,9012807.6316
14 Sep 2022,8224303.619,170077.7619,16715844.4286,8670459.2857
15 Sep 2022,6157223.5455,226610.6364,13946890.8182,5853478.9545
16 Sep 2022,13909172.88,314770.44,27628750.24,14703873.88
17 Sep 2022,11314337.7619,407553.8571,22778373,11754101.4286
18 Sep 2022,13493735.625,581229.8333,28865657.8333,13189454.7083
19 Sep 2022,12488427.8438,137951.0625,25436797.4375,13340993.5625
20 Sep 2022,7591624.1875,170445.25,15184291.9688,8099780
21 Sep 2022,3045598.9655,184273.2414,6069346.7241,3243532.2414
22 Sep 2022,3421690.3704,163464.3333,6115613.7407,3778798.4815
23 Sep 2022,4347819.6349,97848.2698,8606083.7619,4690456.5556
24 Sep 2022,11086001.1852,108803.1852,21312275.3333,11791157.3333
25 Sep 2022,686215.8571,214096.2857,1217529.6429,765415.1786
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
