category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Sep 2022,8107.6818,2445.8182,14684.5,7897
2 Sep 2022,1938.6522,787.8261,2948.6957,2249.0435
3 Sep 2022,7717.85,3158.2,12841.2,7311.55
4 Sep 2022,729.5,0,1705,579
5 Sep 2022,5803.8,1766.1,12093.1,5784.3
6 Sep 2022,3141.8261,1606.1957,4512.6522,3197.1739
7 Sep 2022,1191.2,23.0571,2878.3429,967.2
8 Sep 2022,677.8,254.325,933.675,730.25
9 Sep 2022,7059.7532,2130.9091,12600.5844,7439.7792
10 Sep 2022,0,0,0,0
11 Sep 2022,0,0,0,0
12 Sep 2022,398.625,301.375,685.4375,304.0625
13 Sep 2022,316,115.6471,565.6471,336.4118
14 Sep 2022,700.5,57.6429,1314.9286,796.8571
15 Sep 2022,44.1579,14.1579,167.0526,34.5263
16 Sep 2022,116.125,11.2083,223.4583,165.2917
17 Sep 2022,991.7143,0,1716.3333,1202
18 Sep 2022,953.3333,345.625,1241.1667,955.75
19 Sep 2022,3865.25,1447.8438,5374.8125,4058.5
20 Sep 2022,519.1333,199.3667,721.6333,600.3667
21 Sep 2022,3486.9492,1293.2542,6240.6441,3734.7797
22 Sep 2022,4299.35,1026.5,7742.95,3365.95
23 Sep 2022,1286.8644,480.9661,1777.2203,1379.8475
24 Sep 2022,1486.4483,784.3448,2706.0345,1371.1034
25 Sep 2022,5759.8667,2311.1667,10581.8667,5664.5333
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
