category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Sep 2022,0.2273,0,0.2273,0.2273
2 Sep 2022,0.5217,0.1739,0.6957,0.5652
3 Sep 2022,0.55,0.1,0.75,0.55
4 Sep 2022,0,0,0,0
5 Sep 2022,0.2,0,0.2,0.2
6 Sep 2022,0.2391,0.1304,0.2826,0.2391
7 Sep 2022,0.2857,0.0857,0.4,0.2857
8 Sep 2022,0.175,0.075,0.2,0.175
9 Sep 2022,0.1429,0.026,0.1948,0.1429
10 Sep 2022,0,0,0,0
11 Sep 2022,0,0,0,0
12 Sep 2022,0.125,0.0625,0.25,0.125
13 Sep 2022,0.1765,0.0588,0.1765,0.1765
14 Sep 2022,0.2143,0.1429,0.3571,0.2143
15 Sep 2022,0.4737,0.0526,0.8947,0.5789
16 Sep 2022,0.25,0.0417,0.4583,0.25
17 Sep 2022,0.7143,0,1.1905,0.8571
18 Sep 2022,1.8333,0,3.0417,1.875
19 Sep 2022,0.2813,0.0313,0.3125,0.2813
20 Sep 2022,0.5333,0.0667,0.6,0.5667
21 Sep 2022,0.2881,0.0169,0.3559,0.2881
22 Sep 2022,0.75,0,1.15,0.9
23 Sep 2022,1.6271,0.0339,2.1695,1.7966
24 Sep 2022,0.2069,0,0.2069,0.2069
25 Sep 2022,2.4333,0.0667,3.3,2.8
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
